Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.22uF","C_0402_1005Metric",21.399500,-14.097000,90.000000,bottom
"C2","0.1uF","C_0402_1005Metric",22.225000,-27.559000,270.000000,bottom
"C3","0.22uF","C_0402_1005Metric",20.383500,-14.097000,90.000000,bottom
"C4","0.22uF","C_0402_1005Metric",18.288000,-15.367000,180.000000,bottom
"C7","0.22uF","C_0402_1005Metric",29.464000,-17.653000,0.000000,bottom
"C8","0.1uF","C_0402_1005Metric",29.464000,-24.892000,0.000000,bottom
"C9","4.7uF","C_0402_1005Metric",18.288000,-14.351000,180.000000,bottom
"C11","0.22uF","C_0402_1005Metric",18.288000,-13.335000,180.000000,bottom
"C12","0.22uF","C_0402_1005Metric",24.257000,-27.559000,270.000000,bottom
"C13","0.1uF","C_0402_1005Metric",29.464000,-20.066000,0.000000,bottom
"C16","0.1uF","C_0402_1005Metric",24.510800,-14.096800,90.000000,bottom
"C17","4.7uF","C_0402_1005Metric",22.225000,-25.273000,90.000000,bottom
"C18","0.22uF","C_0402_1005Metric",16.002000,-17.399000,180.000000,bottom
"C19","4.7uF","C_0402_1005Metric",29.464000,-23.876000,0.000000,bottom
"C20","0.22uF","C_0402_1005Metric",16.002000,-18.415000,180.000000,bottom
"C21","4.7uF","C_0402_1005Metric",29.464000,-21.082000,0.000000,bottom
"C23","1uF","C_0402_1005Metric",16.002000,-20.447000,180.000000,bottom
"C25","10uF","C_0402_1005Metric",18.288000,-21.463000,0.000000,bottom
"C27","0.1uF","C_0402_1005Metric",16.002000,-21.463000,180.000000,bottom
"C28","4.7uF","C_0402_1005Metric",18.288000,-23.114000,0.000000,bottom
"C30","0.22uF","C_0402_1005Metric",16.002000,-23.114000,180.000000,bottom
"C33","0.22uF","C_0402_1005Metric",16.002000,-24.701500,180.000000,bottom
"C35","0.22uF","C_0402_1005Metric",18.796000,-27.559000,270.000000,bottom
"C36","4.7uF","C_0402_1005Metric",18.288000,-24.701500,0.000000,bottom
"C37","1uF","C_0402_1005Metric",17.780000,-27.559000,270.000000,bottom
"C38","0.22uF","C_0402_1005Metric",16.002000,-25.717500,180.000000,bottom
"C39","0.1uF","C_0402_1005Metric",25.273000,-27.559000,270.000000,bottom
"C40","4.7uF","C_0402_1005Metric",18.288000,-25.717500,0.000000,bottom
"C45","0.1uF","C_0402_1005Metric",23.241000,-27.559000,270.000000,bottom
"C46","0.1uF","C_0402_1005Metric",16.002000,-16.383000,180.000000,bottom
"C48","4.7uF","C_0402_1005Metric",18.288000,-18.415000,0.000000,bottom
"C49","4.7uF","C_0402_1005Metric",24.257000,-25.273000,90.000000,bottom
"C51","10uF","C_0402_1005Metric",19.888000,-9.728000,90.000000,bottom
"C52","0.1uF","C_0402_1005Metric",42.544800,-13.842800,0.000000,bottom
"C53","10uF","C_0402_1005Metric",50.799800,-13.487200,270.000000,bottom
"R1","0","R_0402_1005Metric",2.133600,-18.034000,0.000000,bottom
"R2","30k","R_0402_1005Metric",20.383500,-16.383000,90.000000,bottom
"R4","5.1k","R_0402_1005Metric",4.064000,-17.526000,0.000000,bottom
"R5","5.1k","R_0402_1005Metric",4.064000,-18.542000,0.000000,bottom
"R8","10k","R_0402_1005Metric",18.288000,-16.383000,0.000000,bottom
"R9","0","R_0402_1005Metric",18.288000,-17.399000,0.000000,bottom
"R10","0","R_0402_1005Metric",16.002000,-19.431000,180.000000,bottom
"R17","10k,NC","R_0402_1005Metric",20.447000,-27.559000,90.000000,bottom
"R18","60.4k,1%","R_0402_1005Metric",18.288000,-20.447000,0.000000,bottom
"R19","60.4k,1%","R_0402_1005Metric",25.273000,-25.273000,90.000000,bottom
"R21","60.4k,1%","R_0402_1005Metric",27.305000,-25.273000,90.000000,bottom
"R22","121k,1%","R_0402_1005Metric",27.305000,-27.559000,270.000000,bottom
"R23","243k,1%","R_0402_1005Metric",26.289000,-27.559000,270.000000,bottom
"R24","412k,1%","R_0402_1005Metric",26.289000,-25.273000,90.000000,bottom
"R28","60.4k,1%","R_0402_1005Metric",23.241000,-25.273000,90.000000,bottom
"R33","10k","R_0402_1005Metric",20.447000,-25.273000,270.000000,bottom
"R36","47k","R_0402_1005Metric",25.273000,-20.574000,0.000000,bottom
"R37","47k","R_0402_1005Metric",25.273000,-19.558000,0.000000,bottom
"R38","47k","R_0402_1005Metric",25.273000,-18.542000,0.000000,bottom
"R39","47k","R_0402_1005Metric",25.273000,-17.526000,0.000000,bottom
"R40","47k","R_0402_1005Metric",25.273000,-16.510000,0.000000,bottom
"RN1","220","R_Array_Concave_4x0402",42.545000,-15.798800,0.000000,bottom
"RN2","220","R_Array_Concave_4x0402",42.545000,-19.050000,0.000000,bottom
"RN3","220","R_Array_Concave_4x0402",36.830000,-10.795000,90.000000,bottom
"RN4","220","R_Array_Concave_4x0402",39.433500,-10.795000,90.000000,bottom
"RN5","220k","R_Array_Concave_4x0402",50.800000,-15.798800,0.000000,bottom
"RN6","220k","R_Array_Concave_4x0402",50.800000,-19.050000,0.000000,bottom
"RN8","220k","R_Array_Concave_4x0402",39.433500,-8.255000,90.000000,bottom
"U2","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",30.099000,-32.131000,0.000000,bottom
"U4","PSRAM, NC","SOIC-8_3.9x4.9mm_P1.27mm",21.336000,-32.131000,0.000000,bottom
"U7","74ALVC164245DGG","TSSOP-48_6.1x12.5mm_P0.5mm",36.576000,-19.050000,180.000000,bottom
