Ref,Val,Package,PosX,PosY,Rot,Side
"C5","10uF","C_0402_1005Metric",20.066000,-9.779000,0.000000,top
"C6","12pF","C_0402_1005Metric",11.176000,-21.463000,180.000000,top
"C10","10uF","C_0402_1005Metric",20.066000,-10.731500,0.000000,top
"C14","12pF","C_0402_1005Metric",9.652000,-23.749000,90.000000,top
"C15","0.22uF","C_0402_1005Metric",20.066000,-11.684000,0.000000,top
"C22","0.22uF","C_0402_1005Metric",5.334000,-9.398000,270.000000,top
"C24","10uF","C_0402_1005Metric",10.541000,-12.065000,270.000000,top
"C26","0.22uF","C_0402_1005Metric",11.557000,-12.065000,270.000000,top
"C29","0.1uF","C_0402_1005Metric",33.477000,-33.223000,90.000000,top
"C31","0.1uF","C_0402_1005Metric",6.985000,-6.477000,0.000000,top
"C32","1uF","C_0402_1005Metric",32.461000,-33.223000,90.000000,top
"C34","10uF","C_0402_1005Metric",5.334000,-7.389000,90.000000,top
"C41","0.1uF","C_0402_1005Metric",22.428000,-33.223000,90.000000,top
"C42","1uF","C_0402_1005Metric",23.444000,-33.223000,90.000000,top
"C43","10uF","C_0402_1005Metric",10.795000,-2.540000,270.000000,top
"C44","10uF","C_0402_1005Metric",16.129000,-2.540000,270.000000,top
"C47","10uF","C_0402_1005Metric",20.066000,-8.826500,0.000000,top
"C50","0.1uF","C_0402_1005Metric",33.019800,-20.421400,270.000000,top
"D2","LESD3Z5.0C","D_SOD-323",3.556000,-24.892000,180.000000,top
"D3","LESD3Z5.0C","D_SOD-323",8.509000,-16.484600,270.000000,top
"D4","LESD3Z5.0C","D_SOD-323",8.509000,-19.532600,90.000000,top
"F1","Polyfuse,2A","Fuse_1206_3216Metric",2.159000,-9.395000,270.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_Palconn_UTC16-G",3.859800,-17.999900,270.000000,top
"L1","4.7uH","L_Wuerth_MAPI-3012",17.018000,-11.049000,270.000000,top
"L2","4.7uH","L_Wuerth_MAPI-3012",11.811000,-9.017000,90.000000,top
"R3","2.2M","R_0402_1005Metric",13.081000,-21.463000,0.000000,top
"R6","22","R_0402_1005Metric",10.541000,-17.526000,180.000000,top
"R7","22","R_0402_1005Metric",10.541000,-18.491200,180.000000,top
"R11","100k,1%","R_0402_1005Metric",4.318000,-8.405000,90.000000,top
"R12","10k,NC","R_0402_1005Metric",4.318000,-10.391000,270.000000,top
"R13","10k","R_0402_1005Metric",31.445000,-33.223000,90.000000,top
"R14","274k,1%","R_0402_1005Metric",8.826500,-11.303000,180.000000,top
"R15","60.4k,1%","R_0402_1005Metric",6.858000,-11.303000,180.000000,top
"R16","10k","R_0402_1005Metric",21.412000,-33.223000,90.000000,top
"R20","10k","R_0402_1005Metric",10.795000,-4.572000,90.000000,top
"R25","100k,1%","R_0402_1005Metric",17.145000,-4.572000,270.000000,top
"R26","412k,1%","R_0402_1005Metric",16.129000,-4.572000,90.000000,top
"R27","60.4k,1%","R_0402_1005Metric",26.492000,-30.429000,180.000000,top
"R29","4.7k","R_0402_1005Metric",13.970000,-29.464000,0.000000,top
"R30","4.7k","R_0402_1005Metric",13.970000,-28.448000,0.000000,top
"R31","4.7k","R_0402_1005Metric",13.970000,-27.432000,0.000000,top
"R32","1k","R_0402_1005Metric",33.909000,-25.908000,0.000000,top
"R34","47k,NC","R_0402_1005Metric",33.020000,-22.352000,270.000000,top
"R35","47k","R_0402_1005Metric",33.909000,-24.892000,0.000000,top
"R41","47k","R_0402_1005Metric",36.220200,-19.913400,180.000000,top
"RN7","220k","R_Array_Concave_4x0402",36.830000,-8.255000,90.000000,top
"SW1","SW_Push","SW_SPST_PTS645",41.750000,-28.500000,0.000000,top
"U1","MIMXRT1011","LQFP-80_12x12mm_P0.5mm",22.733000,-20.828000,270.000000,top
"U3","ETA3486","SOT-23-5",7.874000,-8.890000,180.000000,top
"U5","SGM2019-ADJ","SOT-23-5",13.462000,-3.048000,0.000000,top
"U6","74LVC1T45GW","SOT-23-6",35.560000,-22.352000,0.000000,top
"Y1","24M, 12pF","Crystal_SMD_3225-4Pin_3.2x2.5mm",12.192000,-23.749000,180.000000,top
