"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"0.22uF","desc","C26,C15,","C_0402_1005Metric","libref","2","2","","",
"10uF","desc","C43,C44,C47,C34,C24,C10,C5,","C_0402_1005Metric","libref","2","7","","",
"0.1uF","desc","C52,C50,C31,","C_0402_1005Metric","libref","2","3","","",
"BAT60A, NC","desc","D1,","D_SOD-323","libref","2","1","","",
"LESD3Z5.0C","desc","D2,","D_SOD-323","libref","2","1","","",
"BAT60A","desc","D5,","D_SOD-323","libref","2","1","","",
"Polyfuse,2A","desc","F1,","Fuse_1206_3216Metric","libref","2","1","","",
"4.7uH","desc","L1,L2,","L_Wuerth_MAPI-3012","libref","2","2","","",
"4.7k","desc","R32,","R_0402_1005Metric","libref","2","1","","",
"22","desc","R7,R6,","R_0402_1005Metric","libref","2","2","","",
"220","desc","RN4,RN3,","R_Array_Concave_4x0402","libref","8","2","","",
"SW_Push","desc","SW1,","SW_SPST_PTS645","libref","4","1","","",
"MIMXRT1011","desc","U1,","LQFP-80_12x12mm_P0.5mm","libref","80","1","","",
"ETA3486","desc","U3,","SOT-23-5","libref","5","1","","",
"W25Q128JVS","desc","U4,","SOIC-8_P1.27mm_Common","libref","8","1","","",
"SGM2019-ADJ","desc","U5,","SOT-23-5","libref","5","1","","",
"74LVC1T45GW","desc","U6,","SOT-363_SC-70-6","libref","6","1","","",
"24M, 12pF","desc","Y1,","Crystal_SMD_3225-4Pin_3.2x2.5mm","libref","4","1","","",
"12pF","desc","C14,C6,","C_0402_1005Metric","libref","2","2","","",
"0.22uF","desc","C38,C35,C33,C30,C22,C20,C18,C12,C11,C7,C4,C3,C1,","C_0402_1005Metric","libref","2","13","","",
"1uF","desc","C42,C37,C32,C23,","C_0402_1005Metric","libref","2","4","","",
"4.7uF","desc","C49,C48,C40,C36,C28,C21,C19,C17,C9,","C_0402_1005Metric","libref","2","9","","",
"10uF","desc","C53,C51,C25,","C_0402_1005Metric","libref","2","3","","",
"0.1uF","desc","C54,C46,C41,C45,C39,C29,C27,C16,C13,C8,C2,","C_0402_1005Metric","libref","2","11","","",
"LESD3Z5.0C","desc","D4,D3,","D_SOD-323","libref","2","2","","",
"0,NC","desc","R12,","R_0402_1005Metric","libref","2","1","","",
"47k","desc","R13,R30,R41,R40,R39,R38,R37,R36,R35,R16,R20,R33,","R_0402_1005Metric","libref","2","12","","",
"274k,1%","desc","R14,","R_0402_1005Metric","libref","2","1","","",
"30k","desc","R2,","R_0402_1005Metric","libref","2","1","","",
"121k,1%","desc","R22,","R_0402_1005Metric","libref","2","1","","",
"243k,1%","desc","R23,","R_0402_1005Metric","libref","2","1","","",
"475k,1%","desc","R24,","R_0402_1005Metric","libref","2","1","","",
"100k,1%","desc","R25,R11,","R_0402_1005Metric","libref","2","2","","",
"412k,1%","desc","R26,","R_0402_1005Metric","libref","2","1","","",
"60.4k,1%","desc","R28,R27,R21,R19,R18,R15,","R_0402_1005Metric","libref","2","6","","",
"0.05, 1%, 1206","desc","R29,","R_1206_3216Metric","libref","2","1","","",
"2.2M","desc","R3,","R_0402_1005Metric","libref","2","1","","",
"47k,NC","desc","R34,R17,","R_0402_1005Metric","libref","2","2","","",
"4.7k","desc","R43,R42,R31,","R_0402_1005Metric","libref","2","3","","",
"0","desc","R44,R10,R9,R1,","R_0402_1005Metric","libref","2","4","","",
"5.1k","desc","R5,R4,","R_0402_1005Metric","libref","2","2","","",
"10k","desc","R8,","R_0402_1005Metric","libref","2","1","","",
"220","desc","RN2,RN1,","R_Array_Concave_4x0402","libref","8","2","","",
"220k","desc","RN8,RN7,RN6,RN5,","R_Array_Concave_4x0402","libref","8","4","","",
"TestPoint","desc","TP17,TP16,TP15,TP13,TP12,TP11,TP9,TP8,TP7,TP6,TP5,TP4,TP3,TP2,TP1,TP14,","TestPoint_Pad_D1.0mm","libref","1","16","","",
"LY68L6400","desc","U2,","SOIC-8_P1.27mm_Common","libref","8","1","","",
"74ALVC164245DGG","desc","U7,","TSSOP-48_6.1x12.5mm_P0.5mm","libref","48","1","","",
"TP199A2/TP181A2","desc","U8,","SOT-363_SC-70-6","libref","6","1","","",
"Through Hole Items ",
"LED_RCGB","desc","D6,","LED_D5.0mm-4_RGB","libref","4","1","","",
"USB_C_Receptacle_USB2.0","desc","J1,","USB_C_Receptacle_Palconn_UTC16-G","libref","22","1","","",
"JTAG/SWD/UART0","desc","J2,","IDC-Header_2x05_P2.54mm_Horizontal","libref","10","1","","",
"LogicIN/UART1","desc","J3,","IDC-Header_2x05_P2.54mm_Horizontal","libref","10","1","","",
"Mode","desc","J4,","PinHeader_1x02_P1.27mm_Vertical","libref","2","1","","",
"SWD","desc","J5,","PinHeader_1x04_P2.54mm_Vertical","libref","4","1","","",
"UART","desc","J6,","PinHeader_1x02_P2.54mm_Vertical","libref","2","1","","",
"Vdrive_I","desc","J7,","PinHeader_1x01_P2.54mm_Vertical","libref","1","1","","",
"OLED_12864","desc","OLED1,","OLED_12864","libref","11","1","","",
