"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C10","C_0402_1005Metric","20.193mm","25.0185mm","20.193mm","25.0185mm","19.708mm","25.0185mm","T","0","10uF",
"C15","C_0402_1005Metric","20.193mm","24.066mm","20.193mm","24.066mm","19.708mm","24.066mm","T","0","0.22uF",
"C24","C_0402_1005Metric","8.331mm","25.768mm","8.331mm","25.768mm","8.816mm","25.768mm","T","180","10uF",
"C26","C_0402_1005Metric","8.331mm","24.752mm","8.331mm","24.752mm","8.816mm","24.752mm","T","180","0.22uF",
"C31","C_0402_1005Metric","4.902mm","30.213mm","4.902mm","30.213mm","4.417mm","30.213mm","T","0","0.1uF",
"C34","C_0402_1005Metric","2.997mm","30.213mm","2.997mm","30.213mm","3.482mm","30.213mm","T","180","10uF",
"C43","C_0402_1005Metric","7.95mm","32.88mm","7.95mm","32.88mm","7.95mm","33.365mm","T","270","10uF",
"C44","C_0402_1005Metric","14.808mm","31.102mm","14.808mm","31.102mm","15.293mm","31.102mm","T","180","10uF",
"C47","C_0402_1005Metric","20.193mm","26.9235mm","20.193mm","26.9235mm","19.708mm","26.9235mm","T","0","10uF",
"C5","C_0402_1005Metric","20.193mm","25.971mm","20.193mm","25.971mm","19.708mm","25.971mm","T","0","10uF",
"C50","C_0402_1005Metric","33.35mm","15.1mm","33.35mm","15.1mm","33.35mm","15.585mm","T","270","0.1uF",
"C52","C_0402_1005Metric","37.922mm","16.878mm","37.922mm","16.878mm","37.922mm","16.393mm","T","90","0.1uF",
"D1","D_SOD-323","14.3mm","34.658mm","14.3mm","34.658mm","13.25mm","34.658mm","T","0","BAT60A, NC",
"D2","D_SOD-323","3.124mm","11.29mm","3.124mm","11.29mm","4.174mm","11.29mm","T","180","LESD3Z5.0C",
"D5","D_SOD-323","14.3mm","32.626mm","14.3mm","32.626mm","15.35mm","32.626mm","T","180","BAT60A",
"F1","Fuse_1206_3216Metric","1.6mm","27.292mm","1.6mm","27.292mm","1.6mm","28.692mm","T","270","Polyfuse,2A",
"L1","L_Wuerth_MAPI-3012","17.145mm","24.752mm","17.145mm","24.752mm","17.145mm","25.802mm","T","270","4.7uH",
"L2","L_Wuerth_MAPI-3012","8.966mm","28.435mm","8.966mm","28.435mm","8.966mm","27.385mm","T","90","4.7uH",
"R32","R_0402_1005Metric","34.112mm","13.068mm","34.112mm","13.068mm","34.112mm","12.583mm","T","90","4.7k",
"R6","R_0402_1005Metric","8.458mm","18.021mm","8.458mm","18.021mm","8.943mm","18.021mm","T","180","22",
"R7","R_0402_1005Metric","8.458mm","17.005mm","8.458mm","17.005mm","8.943mm","17.005mm","T","180","22",
"RN3","R_Array_Concave_4x0402","35.636mm","21.196mm","35.636mm","21.196mm","34.886mm","20.696mm","T","90","220",
"RN4","R_Array_Concave_4x0402","38.43mm","21.196mm","38.43mm","21.196mm","37.68mm","20.696mm","T","90","220",
"SW1","SW_SPST_PTS645","41.605mm","8.0mm","41.605mm","8.0mm","37.625mm","10.25mm","T","0","SW_Push",
"U1","LQFP-80_12x12mm_P0.5mm","21.082mm","14.668mm","21.082mm","14.668mm","25.832mm","21.3555mm","T","270","MIMXRT1011",
"U3","SOT-23-5","4.902mm","27.673mm","4.902mm","27.673mm","6.002mm","26.723mm","T","180","ETA3486",
"U4","SOIC-8_P1.27mm_Common","31.5466mm","6.6926mm","31.5466mm","6.6926mm","28.4466mm","8.5976mm","T","0","W25Q128JVS",
"U5","SOT-23-5","10.617mm","32.372mm","10.617mm","32.372mm","9.517mm","33.322mm","T","0","SGM2019-ADJ",
"U6","SOT-363_SC-70-6","35.636mm","16.878mm","35.636mm","16.878mm","34.686mm","17.528mm","T","0","74LVC1T45GW",
"Y1","Crystal_SMD_3225-4Pin_3.2x2.5mm","9.855mm","12.814mm","9.855mm","12.814mm","10.955mm","13.664mm","T","180","24M, 12pF",
"C1","C_0402_1005Metric","19.6975mm","21.323mm","19.6975mm","21.323mm","19.6975mm","20.838mm","B","90","0.22uF",
"C11","C_0402_1005Metric","16.6495mm","21.7675mm","16.6495mm","21.7675mm","17.1345mm","21.7675mm","B","180","0.22uF",
"C12","C_0402_1005Metric","22.2375mm","7.988mm","22.2375mm","7.988mm","22.2375mm","8.473mm","B","270","0.22uF",
"C13","C_0402_1005Metric","25.5395mm","15.0365mm","25.5395mm","15.0365mm","26.0245mm","15.0365mm","B","180","0.1uF",
"C14","C_0402_1005Metric","9.855mm","11.798mm","9.855mm","11.798mm","9.37mm","11.798mm","B","0","12pF",
"C16","C_0402_1005Metric","22.809mm","19.164mm","22.809mm","19.164mm","22.809mm","19.649mm","B","270","0.1uF",
"C17","C_0402_1005Metric","20.5865mm","10.147mm","20.5865mm","10.147mm","20.5865mm","9.662mm","B","90","4.7uF",
